,labels,kor_sentence
16,1,"주조 공장 부문은 매출이 2006년 해당 기간의 57.5 mn에서 63.1 mn으로 9.7% 증가했으며, 기계 공장 부문 매출은 2006년 해당 기간의 35.4 mn에서 41.2 mn으로 16.4% 증가했다고 보고했습니다."
17,1,"헬싱키 (AFX) &shy; 노키아가 산요와 손잡고 3G 단말기를 제조할 계획을 발표한 후, 노키안 타이어가 4분기 수익보고서를 발표한 후, 주가는 분석가들의 예상을 깨고 상승 마감했다고 딜러들은 말했다."
18,1,핀란드 인셉트 코퍼레이션의 자회사인 인셉트 컨트랙트 제조 서비스 Pvt Ltd는 2007-2008년까지 수익을 두 배로 늘릴 계획이다.
19,1,이사회는 2009년 주당 0.08유로에서 2010년 주당 0.12유로의 배당금을 제안할 예정이다.
20,1,"라이프트리는 2000년에 설립되었으며, 30대 후반 마진과 함께 수익이 평균 40% 상승했습니다."
21,1,상트페테르부르크의 기술단지 건설에 대한 3국간 투자협정은 오늘 헬싱키에서 개막된 '러시아 경제의 날' 포럼 과정에서 체결될 예정이었다.
22,1,"텔리아소네라 추산에 따르면 메가폰의 가입자 기반은 2009년 16.1% 증가한 5,050만명으로, 고객 수 대비 시장점유율은 2009년 말 현재 24%로 2008년 말 23%보다 높아졌다."
23,1,"생명보험 순이익은 3.2mn에서 6.8mn으로 2배 증가했고, 손해보험 순이익은 2009년 해당 기간 1.5mn에서 5.2mn으로 증가했다."
24,1,순매출액은 유로179.9m에서 유로193.3m로 증가했고 세전 이익은 유로43.1m로 34.2% 증가했다. (유로1 = USD1.4)
25,1,순매출액은 18.5% 증가하여 유로167.8m를 기록했다. Teleste는 매출의 12.2%인 20.4M유로가 2009년에 이루어진 인수에서 발생했다고 밝혔다.
26,1,"노르데아그룹은 2010년 영업이익이 전년 대비 18% 증가한 36억4000만 유로, 총매출은 3% 증가한 93억3000만 유로를 기록했다."
27,1,9개월간의 영업이익은 13.6억 유로에서 증가했고 순매출은 2005년 같은 기간에 비해 394.7억 유로에서 증가했다.
28,1,2007년 같은 기간에 비해 9개월 영업이익은 .1억 유로에서 증가하였고 순매출은 .5억 유로에서 증가하였다.
29,1,"3개월간의 영업이익은 2005년 같은 기간에 비해 .2 m 유로에서 증가하였고, 수익은 .2 m 유로에서 증가하였다."
30,1,"온라인 뉴스 리셀러 웹은 핀란드 보안 솔루션 공급업체인 F-Secure의 브라질 사업부가 지난해 1,500명의 신규 고객을 유치했다고 블라디미르 브랜드+_o의 말을 인용 보도했다."
31,1,"2005년 순이익은 전년 대비 11.4% 증가한 8,220만 유로로 전년 대비 13.8% 증가한 6억 8,650만 유로 매출을 기록했다고 앞서 밝혔다."
32,1,리투아니아 맥주 시장은 1월 1441만ℓ로 전년 동기 대비 0.8% 증가했다고 리투아니아 맥주협회가 회원들의 결과를 인용해 보도했다.
33,1,"바이킹 라인의 화물 수입은 5.4% 증가한 21.46mn, 화물 물동량은 2.4% 증가한 7만116대를 기록했다."
34,1,"부동산 포트폴리오의 공정가치는 카피텔리 인수의 결과로 두 배가 되었고 총 2,686.2 유로 1,259.7백만 유로였다."
35,1,"2011년 2월 10일 - 핀란드 미디어 회사 Sanoma Oyj HEL: SAA1V는 2010년 순이익이 2009년 EUR107.1m에서 거의 3배인 EUR297.3m로 증가했다고 어제 발표했으며, 급여 인상을 제안했습니다."
36,1,헬싱키 : ELIiV는 오늘 2009년 EPS가 1.13유로로 2008년 EPS 1.12유로에 비해 증가했다고 보고했다.
37,1,2011년 2월 11일 오전 8시 45분 아스포 주식 거래소 릴리즈. 아스포그룹 계열인 ESL해운이 라우타루키사와 발트해 원재료의 해상 운송을 위한 새로운 장기 계약을 체결했다.
38,1,"수수료 수입은 22% 증가한 4.4 mn으로, 대출 규모는 13.5% 증가했다."
39,1,"1월에 수익 승객 킬로미터 RPK로 측정한 교통량은 3.2%, 가용 좌석 킬로미터 ASK로 측정한 수용량은 12.2% 증가했다."
40,1,"2010년 1월부터 9월까지 피스카의 순이익은 전년 동기 대비 14% 증가한 6540만 유로, 순매출액은 4억8770만 유로에서 5억2530만 유로로 증가했다."
41,1,"생명보험 순이익은 2009년 14.0mn에서 16.5mn로, 손해보험 순이익은 2009년 15.2mn에서 22.6mn으로 증가했다."
42,1,Nyrstar는 또한 농축된 아연이 공급되는 기간 동안 Talvivaara의 침출 공정에 사용하기 위해 Talvivaara에 연간 최대 15만 톤의 황산을 공급하기로 합의했다.
43,1,백화점 부문과 하비홀의 매출은 모두 7% 증가했고 의류 매장 자회사 세팔라의 매출은 4% 감소했다.
44,1,다른 수출 시장에서도 매출이 증가했다.
45,1,시장금리 상승과 영업 증가 등으로 매출이 증가했다.
46,1,이번 계약으로 노키아 지멘스 네트웍스와의 장기적인 파트너십이 강화되었습니다.
47,1,"이 계약은 액체 취급 제품 및 진단 테스트 시스템을 개발, 제조 및 판매하는 핀란드 공기업 바이오히트 Oyj의 영국 자회사인 바이오히트 헬스케어 Ltd와 체결되었다."
48,1,"회사는 또 이미 진행된 투자가 2009년 1억4,170만 유로에 달했던 2010년 순매출액 증가로 이어질 것으로 추산하고 있다."
49,1,"2007년 9월 30일 이 회사의 주문 장부는 1.5 bln 유로 2.2 bln으로 전년 동기 대비 24.2 pct 상승했으며, 국제 주문량은 365 mln 유로 534.3 mln에 달했다."
50,1,"회사 측은 발행용지를 포함한 주요 시장에서 모두 용지 수요가 증가했으며, 지난해 대비 평균 용지 가격을 4% 인상했다고 밝혔다."
51,1,세계 2위의 스테인리스강 제조업체인 포스코는 12월 31일까지 3개월간의 순이익이 전년도의 1억7200만 유로에서 7억8100만 유로로 4.31만 유로로 급증했다고 밝혔다.
52,1,"파트너십의 틀 안에서, 노키아 지멘스 네트웍스는 러시아에서 가장 큰 마이크로 전자 부품 제조업체이자 수출업체인 Sitronics 자회사인 JSC Mikron과 초기 프레임워크 구매 계약을 체결했다."
53,1,세팔라의 수익은 0.2% 증가하여 10.1m가 되었다. 핀란드는 수익이 2.4% 감소한 6.8M유로를 기록했고 해외 판매는 6.2% 증가한 3.3M유로를 기록했다.
54,1,스탠다드차타드의 주가는 FTSE 100에서 1.2% 상승했으며 스코틀랜드 왕립은행(RBS) 주가는 2% 상승했으며 바클레이스 주식은 1.7% 상승했다.
55,1,노키아의 3분기 실적이 2배 가까이 증가했으며 세계 휴대폰 시장에서 노키아의 점유율이 증가했다고 26일(현지시간) 밝혔다.
56,1,SAB는 25일(현지시간) 발표한 재무보고서에서 순이익이 1년 전 0.114bn에서 2010년 6.745bn으로 급증했으며 주당 배당금 50%를 인상할 것이라고 밝혔다.
57,1,"백화점 부문 매출은 15%, 의류전문점 자회사 세팔라는 8% 증가한 반면 하비홀 매출은 12% 감소했다."
58,0,핀란드 언론사 알마미디어의 신문들의 요청에 따라 투르쿠경제대학 핀란드선물연구센터의 야리 카이보오하 연구책임자는 덴버대가 개발한 모델을 활용해 핀란드 국가경제의 미래 시나리오를 작성했다.
59,0,스웨덴에서 Gallerix 누적 SEK 표시 매출은 1% 감소했고 EUR 표시 매출은 11% 증가했다.
60,0,이 회사는 글로벌 고객의 신기술 개발을 지원하고 제품 개발에서 애플리케이션 및 대량 생산까지 빠른 경로를 제공합니다.
61,0,이번 투자가 이뤄지면 아트리아는 모스크바 시장까지 확장할 계획이다.
62,0,"`` 크라모핀란드 타투 하우히오 상무는 ""이번 신규 계약은 올해 초 레민카이넨 그룹과 체결한 레민카이넨 탈로 오이이타-자 포호이스 수오모의 건설기계 전량을 인수해 유사계약으로 체결된 협약의 연장선""이라고 말했다."
63,1,"처음에는 2대를 추가로 생산할 수 있는 옵션이 있는 페리선 3척을 건조할 계획이었으나, 총액 500mln 유로($645.8mln)로 추가로 확정되었다."
64,0,"지난 6월 노르트슈테르난에 지분 30%를 매각했고, 이 투자 그룹은 이제 EQT의 잔여 지분을 인수할 수 있는 옵션을 갖게 됐다."
65,1,KESKO CORPORATION STECHERSE 28.02.28 09.30 1 ( 1)에 Kesko Corporation과 Aspo plc는 오늘 아스포가 Kesko가 전적으로 소유한 자회사인 카우코텔코의 주식 자본을 인수하는 계약에 서명했다.
66,1,2006년 12월 5일 15.45 유로에서 스폰다 스폰다에 대한 신디케이트 크레디트 퍼실리티 15.45 유로에 발표된 스폰다 스폰다는 총 15억 유로의 신디케이트 크레디트 퍼실리티 계약을 체결했다.
67,0,2006년 7월 20일 주식 교환 발표 1 ( 1) BasWare 주식 청약 및 주식 자본 증가 총 119850주가 BasWare 보증 프로그램에 가입되었습니다.
68,1,"이 계약은 전송 네트워크의 순방향 및 리턴 경로 용량을 증가시키기 위해 설계된 HDO 플랫폼, AC800 및 CXE880 광학 Fttb 노드를 포함한다."
69,0,새 발전소는 최대 350메가와트(MW)의 전력을 생산할 수 있으며 동일한 열 발전 용량을 갖출 계획이다.
70,1,"OMX 헬싱키 25 지수는 0.92pct 오른 2,518.67, 헬싱키 CAP 포트폴리오 지수는 0.91pct 오른 4,711.19를 기록했다."
71,0," 따라서, 자동차의 판매 성장은 타이어 시장에 상당한 영향을 미친다.'"
72,0,"2004년 스톡옵션제도에 따라 B옵션을 행사하면 최대 666,104주의 신규주식이 추가로 청약될 수 있다."
73,0,"주식발행의 결과로 동사의 주식수는 391,630주, 자기자본은 총 15,665.20주가 증가하였다."
74,0,"핀란드 부동산투자자 스폰다(Sponda Plc)는 12일 단스케은행 A-S 헬싱키 지점과 7년 만기 150만 유로, 일마리넨 상호연금보험회사와 7년 만기 50만 유로 신용대출 계약을 체결했다고 밝혔다."
75,0,핀란드 헬싱키와 에스토니아 탈린을 잇는 노선의 경우 화물량이 36% 증가한 반면 핀란드-스웨덴 간 화물량은 9% 감소했다.
76,0,"다른 조치들은 그리말디 그룹 내에서 시너지 효과와 규모의 경제를 증가시키는 것과 인원 조정, 해고, 초과 톤수의 재인도를 포함했다."
77,1,린쿠스키아는 판매량을 137만 리터로 18.1% 늘렸고 카우노 알루스의 판매량은 96만 리터로 14.3% 성장했다.
78,0,텔레콤월드와이어-2006년 4월 7일-TJ 그룹은 모닝 디지털 디자인 Oy 핀란드 IT 회사인 TJ 그룹 PLC의 지분을 Edita Oyj에 매각하기로 합의했다고 금요일 밝혔다.
80,0,"시리즈A 신주 718,430주는 2006년 7월 3일 헬싱키 증권거래소 메인리스트에서 이전 시리즈A 주식과 함께 거래될 예정이다."
81,0,연료 구매 계약은 올 9월부터 11월까지 3개월간의 배송과 함께 체결되었습니다.
82,0,Tiimari는 핵심 핀란드 시장을 포함하여 6개국에서 194개의 매장을 운영하고 있으며 2005년 76.5mln유로의 매출을 올렸다.
83,1,본 계약에 따라 Biohit은 유럽 전역의 VWR 고객에게 피펫터 및 일회용 피펫터 팁을 중점적으로 공급하게 되었습니다.
84,1,"우리가 복잡하고 강화된 서비스 체인을 제공할 수 있도록 해주는 모든 서비스의 조합은 발트해 항구 연결뿐만 아니라 지중해, 아프리카, 북미에 이르는 세계적인 그리말디 네트워크에 접근할 수 있도록 하는 것이다."
85,0,하나의 유리한 지점에서 나오는 맹점이 없기 때문에 수사관들은 끊기지 않은 비디오 없이 모든 이야기를 고해상도로 볼 수 있다.
86,1,"동사는 2010년 매출액이 2009년보다 소폭 증가할 것으로 여전히 전망하고 있으며, ""올해 계약제조업의 시장개척에 대한 신뢰할 수 있는 예측을 하기에는 시장예측성이 여전히 너무 열악하다""고 덧붙였다."
87,1,이번 인수로 Kemira는 러시아 금속 산업 코팅 시장에서 매출과 시장 지위를 상당히 높일 수 있을 것이다.
88,1,2007년 1월부터 9월까지 핀라인스의 순매출액은 2006년 같은 기간의 473.5 mn에서 505.4 mn으로 증가했다.
89,1,그룹 구조의 변화에 따라 부서의 순매출은 1.7% 증가했다.
90,1,"`` 이 변화는 성장하는 사업의 운영 효율성을 최적화할 것입니다""라고 피스카의 마케팅 커뮤니케이션 담당 이사인 줄리아 프로하스카는 말했다."
91,1,"`` 그들은 물리적 기반 시설에 투자할 뿐만 아니라 과학기술 단지를 관리하고 발전시키기 위한 노하우를 제공할 것입니다,"" 라고 선라이즈 밸리 책임자 안드리우스 바그도나스 씨가 말했습니다."
92,1,"2011년 2월 4일 - 핀란드 광대역 데이터 통신 시스템 제공업체 Teleste Oyj HEL : TLT1V의 순이익은 2009년 같은 기간의 995,000 유로에서 2010년 4분기에는 0.1m 유로로 급증했다."
93,1,핀란드 아크티아 그룹의 영업이익은 2009년 1분기 8.2 mn에서 2010년 1분기 17.5 mn으로 증가했다.
94,1,핀란드 은행의 연결기준 순영업이익은 2005년 1분기 4.8mn에서 2006년 1분기 6.4mn으로 증가했다.
95,1,"핀란드 금융 그룹 악티아는 2009년 1월부터 9월까지 44.4 mn의 영업이익을 보고했는데, 이는 2008년 같은 기간의 37.3 mn보다 증가한 수치이다."
96,1,"핀란드의 첨단 기술 제공업체 바하토 그룹은 2007년 9월부터 2008년 2월까지의 회계 기간 동안 41.8 mn의 순매출액을 보고했는데, 이는 전년 동기 대비 11.2% 증가한 수치이다."
97,1,핀란드 식품산업 회사인 L+에넨 테흐타트의 지속적인 영업은 2007년 309.6 mn에서 2008년 349.1 mn으로 13% 증가했다.
98,1,개인 프로모션도 예상보다 약간 높은 수익을 창출했다.
99,1,바이오히트는 이미 많은 기존 제네시스 고객들에게 서비스를 제공하고 있으며 이번 계약으로 고객층이 확대될 것으로 예상된다.
100,1,3개월간의 영업이익과 매출액은 2005년 같은 기간에 비해 각각 0.9M 유로와 8.3M 유로로 증가하였다.
101,1,"발행부수는 핀란드에서 5%, 스웨덴에서 4% 증가했다."
102,1,의류 체인 셉+엘+엘+엘의 순매출은 7.0% 증가한 30.8유로였다.
103,1,한편 건설 물량은 매년 10~15%씩 증가하고 있다.
104,1,핀란드와 스웨덴 건설 시장은 2008년에도 여전히 연간 4%의 성장률을 보이고 있다.
105,1,다만 바이오히트는 총 순매출액이 2009년에도 계속 증가할 것이며 순매출 호조세가 2009년에도 이익으로 이어질 것으로 전망했다.
106,1,2009년 Fiskars의 영업활동 현금흐름은 121만 유로로 전년도의 97만 유로에서 증가하였다.
107,1,리투아니아에서는 2005년 같은 기간의 7만 유로에서 19만 유로로 영업이익이 증가했다.
108,1,"2008년 4분기 순매출은 2007년 4분기 1,027.0mn에서 1,050.7mn으로 2% 증가했다."
109,1,"해외 판매는 59.8% 증가하여 1,244.4 mn을 기록했다."
110,0,칼마르 에스파나는 2005년에 약 11.3 mln 유로 $14.8 mln의 순매출을 기록했다.
111,1,순매출액은 이 기간 동안 585억 2천만 달러까지 증가했습니다.2006년 x20ac 4억100만 달러에서 100만 달러.
112,1,2010년 4~6월 순매출액은 전년 동월 438만 유로에서 655만 유로로 증가했다.
113,1,인도된 충전기 수가 6590만대로 41% 증가하면서 순매출액은 전년 대비 25.5% 증가한 59.6m를 기록했다.
114,1,순매출액은 2005년 같은 기간의 93.2 mn보다 증가한 총 93.6 mn이다.
115,1,노키아도 휴대전화 수익률이 1년 전 분기 13%에서 22% 이상으로 상승했음에도 불구하고 이 기간 동안 단말기 평균 판매가격이 하락했다고 지적했다.
116,1,영업이익은 EUR 3.4 mn에서 EUR 8.3 mn으로 145.1% 증가했습니다.
117,1,영업이익률은 11.2%에서 11.7%로 증가했다.
118,1,영업이익은 2009년 해당 기간의 1.22 mn에서 3.11 mn으로 증가하였습니다.
119,1,영업이익은 2008년 4분기 2.8 mn에서 500만 유로로 증가했다.
120,1,영업이익은 EUR 23.0mn에서 24.5mn으로 증가했다.
121,1,라미렌트의 2분기 순매출액은 1억2870만 유로로 지난해 2억2460만 유로에 비해 3.3% 증가했다.
122,1,수익은 2퍼센트 증가한 7억 4300만 달러를 기록했다.
123,1,루키는 2010년 9월 노르웨이의 아케르 솔루션스와 핀란드 칼라요키에서 24개의 흡입 앵커를 공급하기로 계약을 체결했다고 발표했다.
124,1,"사카리 탐미넨 CEO는 ""루키의 납품량과 판매가격이 양호한 발전세를 보였으며 동사의 동급 순매출액이 전년 대비 50% 성장한 유로647m""이라고 말했다."
125,1,사노마 잡지의 순매출은 2006년에 증가할 것으로 추정된다.
126,1,이 은행은 핀란드의 GDP가 2010년과 2011년에 2% 성장할 것으로 예측했다.
127,1,"주간 기준으로 서킷의 전체 생산량은 현재 하루 평균 40,000톤을 초과하고 있으며, 하루에 50,000톤을 초과하는 양에 도달하고 있다."
128,1,이 회사의 연결 영업이익은 15.86만 유로로 전년 대비 4.14만 유로에서 증가하였다.
129,1,백화점 부서는 매출이 4% 증가했다고 보고했다.
130,1,이 회사의 투자부동산 공정가치는 1년 전 269만1000유로에서 2009년 3월 말 28억3000만유로까지 성장했다.
131,1,"지난 분기는 순매출액 기준으로 2009년 최고의 분기였으며, 영업이익률은 12.2%로 상승했습니다."
132,1,주요 양조업체들은 지난해 국내 맥주 판매량을 2004년 2억4592만 리터에서 2억5688만 리터로 4.5% 늘렸다.
133,1,이 거래는 테크노멘스의 노동력을 두 배로 늘리고 그들의 순매출에 4분의 1을 더 추가한다.
134,1," 영업이익은 26.9% 증가한 1억5,840만 유로였다."
135,1,`` 이번 인수로 크라모는 라트비아 시장에서 두 번째로 큰 렌털 서비스 업체가 된다.
136,1,"`` 2009년의 우선순위는 회사의 대차대조표를 강화하고 현금흐름을 늘리는 것이었습니다""라고 CEO 한누 크룩은 말했다."
137,1,`` 사업부 구매는 빌딩 시스템 서비스를 지리적으로 확장하려는 YIT 전략의 일환이다.''
138,1,2010년 10월 21일 - 핀란드 낚시 태클 회사인 라팔라 VMC Corp(HEL : RAP1V)는 2010년 첫 9개월 동안 순이익이 전년 동기 15.1만 유로에서 18.9만 유로로 증가했다고 발표했다.
139,0,모델 기반 소프트웨어 공급업체인 테클라의 구조 BIM(빌딩 정보 모델링) 소프트웨어가 아부다비의 대학 프로젝트의 건설 관리 및 전달을 위해 채택되었습니다.
140,1,핀란드 메소미네랄스에 따르면 12개월 만에 이 회사의 수주액이 1.9억 유로까지 올랐다.
141,1,핀란드 알다타솔루션은 프랑스 유통사 2곳에 G.O.L.D 시스템 공급 계약을 체결했다.
142,1,+_land 핀란드 은행은 영업 이익이 2008년 같은 기간의 6.1 mn에서 2009년 2분기에는 21.3 mn으로 증가했다고 보고했습니다.
143,1,핀란드 금융그룹 악티아의 2009년 영업이익은 2008년 6.6 mn에서 47.0 mn으로 증가했다.
144,1,핀란드 산림기계 제조업체 폰세의 순매출액은 2009년 37.5mn에서 2010년 1분기 51.3mn으로 성장했다.
145,1,핀란드 KCI Konecranes는 2006년 순매출 성장률을 25% 이상에서 35% 이상으로 상향 조정했다.
146,1,반도체·센서 산업용 실리콘 웨이퍼를 제조·가공하는 핀란드 옥메틱과 노르웨이 태양광 웨이퍼 업체 노르선이 태양광전지 제조용 노르썬 모노 실리콘 크리스털을 공급하는 계약을 체결했다.
147,1,핀란드 제약회사 오리온의 순매출액은 2008년 1분기 1억8000만 유로에서 2009년 1분기 1억9000만 유로로 증가했다.
148,1,"핀란드 폰세는 남아프리카에서 폰세 산림 기계, 수확기 헤드, 정보 시스템의 보급과 지원을 위한 협약을 밥콕 아프리카와 체결했다."
149,1,남아공 사피는 핀란드 M-리얼 코퍼레이션의 그래픽 페이퍼스 사업부 인수로 핀란드에 진출한 외국 최대 산림산업 기업이 된다.
150,1,Pekka Silvennoinen 부대표에 따르면 목표는 향후 3년간 두 배의 이직이다.
151,1,핀란드 HKScan에 따르면 J+에르비수오멘 포르티의 순매출 규모를 8000만 유로에서 1억 유로로 늘릴 계획이다.
152,1,"광고와 발행부수는 각각 3.4%, 0.4% 성장했다."
153,1,"인수 후, 크라모는 라트비아 시장에서 두 번째로 큰 렌털 서비스 업체가 될 것이다."
154,1,"다시, 18.6%의 가장 큰 판매 증가는 러시아였다."
155,1,알마미디어는 기존 전망대로 순매출이 늘어날 것으로 보고 있다.
156,1,또한 레밍크+아이넨의 회계기간 이익은 1년 전 -24.5 mn에서 3.1 mn으로 증가했다.
157,1,2007년 3월 말 이 그룹의 주문 장부는 39.6 유로로 2006년 같은 기간보다 42% 증가했다.
158,1,"동시에 회사의 이익은 H1에서 10% 증가하여 Ls 7만9,000에 도달하였다."
159,0,항공 시스템 유지보수는 캔자스에 기반을 두고 있으며 2008년 260만 달러의 순매출을 창출했다.
160,1,"게다가 우리는 다양한 소시지의 고기 비중을 늘렸고 그릴 제품과 시쉬 케밥 부문에서 많은 새로운 맛을 제공하고 있습니다""라고 파벨은 말했다."
161,1,12개월 동안의 영업이익과 순매출은 2004년 회계연도에 비해 각각 10.5억 유로와 28.8억 유로에서 증가했다.
162,1,12개월 동안의 영업이익과 순매출은 2004년 회계연도에 비해 각각 20.8백만 유로와 177.7백만 유로에서 증가했다.
163,1,12개월간의 영업이익과 순매출은 2005년에 비해 각각 21.5 유로와 196.1 유로에서 증가했다.
164,1,12개월간의 영업이익과 순매출은 2004년에 비해 각각 4.7백만 유로와 26.7백만 유로에서 증가했다.
165,1,"영업이익과 당기순매출 모두 2006년 동기 대비 각각 26.6%, 3.4% 증가했다."
166,1,6개월간의 영업이익과 순매출 모두 2007년 같은 기간에 비해 각각 13.8억 유로와 143.6억 유로로 증가하였다.
167,1,6개월간의 영업이익과 순매출은 2005년 같은 기간에 비해 각각 0.4백만 유로와 3.2백만 유로에서 증가하였다.
168,1,영업이익과 순매출은 2006년 같은 기간에 비해 각각 .18 유로와 127.6 유로에서 증가하였다.
169,1,6개월간의 영업이익과 순매출은 2005년 같은 기간에 비해 각각 .5M 유로와 655.5M 유로에서 증가하였다.
170,1,3개월간의 영업이익과 순매출은 2005년 같은 기간에 비해 각각 15.1 유로와 131.5 유로로 증가하였다.
171,1,3개월간의 영업이익과 순매출 모두 2006년 같은 분기에 비해 각각 16.0만 유로와 139만 유로로 증가했다.
172,1,3개월간의 영업이익과 매출 모두 2005년 같은 기간에 비해 각각 0.3m 유로와 13.1m 유로로 증가하였다.
173,1,"9개월 영업이익과 매출액이 각각 1년 전 같은 기간에 비해 2.4m, 43.8m 증가했다."
174,1,6개월간의 영업이익과 매출액은 2007년 같은 기간에 비해 각각 17.6 유로와 1149.9 유로로 증가했다.
175,1,"6개월 영업이익과 매출액이 각각 1년 전 같은 기간에 비해 0.1m, 29.0m로 증가했다."
176,1,화물량이 7% 증가했다.
177,1,화물량이 약 5% 증가했다.
178,1,2004년 7억 3천만 유로에서 8억 5천 4백만 유로로 증가하였다.
179,1,디지아는 2010년 1월부터 6월까지의 총 순매출액이 67.8백만 유로로 2009년 같은 기간(61.9백만 유로)에 비해 9.7% 증가했다고 밝혔다.
180,1,희석주당이익(EPS)은 0.05유로에서 0.29유로로 증가했다.
181,1,희석주당이익(EPS)은 0.09유로에서 0.52유로까지 상승했다.
182,1,희석주당이익(EPS)은 0.64유로에서 1.05유로까지 올랐다.
183,1,희석주당이익(EPS)은 0.50유로에서 3.68유로로 증가했다.
184,1,희석주당이 0.50유로에서 3.68유로로 올랐다.
185,1,EBIT 마진은 1.4%에서 5.1%로 증가했다.
186,0,그리말디는 2005년에 1.7 bln 유로 ($ 2.182 bln)의 매출을 올렸다고 2006년 5월 29일 ANSA가 보도했다.
187,1,EPS는 2008년 3분기 0.00유로에 비해 3분기 그룹 순매출액은 2008년 3분기 14.9M유로에 비해 2.8% 증가한 15.3M유로에 그쳤다.
188,1,지속적인 영업으로 인한 EPS는 0.17유로에서 0.30유로로 상승했다.
189,1,지분율은 54.2%에 비해 60.9%로 2007년 3분기 냉동식품 사업의 순매출액은 총 11.0유로로 2006년 3분기보다 약 5% 증가했다.
190,1,"2010년 5월 6일 핀란드 섬유 및 의류 디자인 회사 마리메코 오이(MMO1V)는 2010년 1분기 순이익이 전년 동기 13,000유로에서 2010년 1분기 928,000유로로 증가했다고 밝혔다."
191,1,핀란드에 본사를 둔 전자제품 제조서비스 회사인 엘코텍 SE는 17일(현지시간) 통신장비 회사인 앤드류 코퍼레이션과 장기적인 제조공급계약을 체결했다고 밝혔다.
192,1,"핀란드의 식기 및 수공구 제조업체 피스카스 오이 압(Fiskars Oyj Abp, HEL : FISAS)은 2010년 3분기 순이익이 전년동기 1790만 유로에서 2,410만 유로(USD 33.6m)로 증가했다고 오늘 밝혔다."
193,1,핀란드 백화점 체인인 스톡만 오이 압프(Stockmann Oyj Abp)의 순이익은 2006년 같은 기간의 37.4 mln($ 53.4 mln)에서 2007년 9월까지 39.8 mln($ 56.8 mln)으로 증가했다.
194,1,핀란드의 리프팅 장비 제조업체 코네크라네스 오이(Konecranes Oyj)는 2008년 상반기 순이익이 2007년 같은 기간의 57.1mln(89.1mln)에서 71.2mln(달러 111.1mln)으로 증가했다고 2008년 7월 30일 밝혔다.
195,1,핀란드 메시징 솔루션 개발업체 테크노멘(OMX 헬싱키: TEM1V)은 라틴 아메리카에서 컨버전트 충전 솔루션의 확장 주문을 받았다고 목요일 (12월 11일) 밝혔다.
196,1,핀란드의 금속 산업 솔루션 공급업체인 아우토텍 오이(Outotec Oyj)의 순이익은 2006년 같은 기간의 20.1 mln($ 28.9 mln)에서 2007년 9월까지 50.4 mln($ 72.5 mln)로 증가했다.
